ts_code,p0,p1,price_return,cagr
000300.SH,3314.1142,4618.8952,0.3937042966111428,0.0337536688330049
000906.SH,3846.7208,5172.2512,0.34458710910342116,0.030051394309517088
000905.SH,6356.9538,7854.3336,0.2355498949827195,0.02137689392204667
000852.SH,8724.9417,7601.8044,-0.128727198257382,-0.013685504807620319
