ts_code,name,benchmark,list_date,p0,p1,total_return,cagr
510050.SH,华夏上证50ETF,上海证券交易所50成份指数×100%,20050223,2.7559947,4.3332654,0.5723054184393026,0.0462938946089404
510270.SH,中银上证国有企业100ETF,上证国有企业100指数×100%,20110818,0.981,1.538,0.5677879714576963,0.045992890788186136
510580.SH,易方达中证500ETF,中证小盘500指数×100%,20150914,6.599,10.281672499999999,0.5580652371571448,0.045342394399754626
159935.SZ,景顺长城中证500ETF,中证小盘500指数×100%,20140121,1.603,2.475,0.5439800374298192,0.04439351888780063
159903.SZ,南方深证成份ETF,深圳证券交易所成份指数×100%,20100202,1.13,1.723,0.5247787610619472,0.04308736164995053
159940.SZ,广发中证全指金融地产ETF,中证全指金融地产指数×100%,20150417,0.789,1.197,0.5171102661596958,0.04256157580948927
513660.SH,华夏沪港通恒生ETF,香港恒生指数×100%,20150126,2.03,3.07,0.5123152709359606,0.04223159306426538
510560.SH,国寿安保中证500ETF,中证500指数×100%,20150703,1.312,1.967,0.4992378048780488,0.04132681625150503
159922.SZ,嘉实中证500ETF,中证小盘500指数×100%,20130315,6.368,9.5443108,0.498792525125628,0.041295884285342144
159912.SZ,汇添富深证300ETF,深证300价格指数×100%,20111124,1.32,1.947,0.4750000000000001,0.039630954752501335
510510.SH,广发中证500ETF,中证小盘500指数×100%,20130524,1.743,2.558,0.4675846242111301,0.0391071072453284
512500.SH,华夏中证500ETF,中证小盘500指数×100%,20150529,3.051,4.45,0.45853818420190096,0.038464800338234184
159907.SZ,广发国证2000ETF,国证2000指数×100%,20110810,1.47,2.13,0.44897959183673475,0.03778222257762254
510500.SH,南方中证500ETF,中证小盘500指数×100%,20130315,1.8597905,2.6752266,0.43845589059627943,0.03702602359201923
160119.SZ,南方中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,20091111,1.686686,2.4220200000000003,0.4359637774902978,0.03684621945498101
162711.SZ,广发中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,20100108,1.325,1.88,0.4188679245283018,0.03560513953516131
512640.SH,嘉实中证金融地产ETF,中证金融地产指数×100%,20140725,1.666,2.355,0.4135654261704682,0.035217467706242234
513600.SH,南方恒生ETF(QDII),香港恒生指数×100%,20150126,2.055,2.888409,0.40555182481751806,0.034629093121118615
159902.SZ,华夏中小企业100ETF,中小企业100指数×100%,20060905,3.4622616,4.8287232,0.3946731234866827,0.033825507255539344
510190.SH,华安上证50ETF,上证50指数收益率×100%,20110110,3.11,4.2771375,0.37528536977491966,0.03237928640427401
