ts_code,name,market,publisher,category,base_date,list_date,discovery_market
000068.SH,上证资源,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20100528,SSE
000069.SH,消费80,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20100528,SSE
000070.SH,能源等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000071.SH,材料等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000072.SH,工业等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000073.SH,可选等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000074.SH,消费等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000075.SH,医药等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000076.SH,金融等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000077.SH,信息等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000078.SH,通信等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000079.SH,公用等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20100818,SSE
000090.SH,上证流通,SSE,中证指数有限公司、上海证券交易所,规模指数,20091231,20101202,SSE
000091.SH,沪财中小,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20110406,SSE
000092.SH,资源50,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110510,SSE
000093.SH,180分层,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20110524,SSE
000094.SH,上证上游,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110510,SSE
000095.SH,上证中游,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110510,SSE
000096.SH,上证下游,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110510,SSE
000097.SH,高端装备,SSE,中证指数有限公司、上海证券交易所,主题指数,20041231,20110524,SSE
000098.SH,上证F200,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20110701,SSE
000099.SH,上证F300,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20110701,SSE
000100.SH,上证F500,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20110701,SSE
000101.SH,5年信用,SSE,中证指数有限公司,债券指数,20071231,20130401,SSE
000102.SH,沪投资品,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110613,SSE
000103.SH,沪消费品,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110613,SSE
000104.SH,380能源,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000105.SH,380材料,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000106.SH,380工业,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000107.SH,380可选,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000108.SH,380消费,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000109.SH,380医药,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000110.SH,380金融,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000111.SH,380信息,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000112.SH,380通信,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000113.SH,380公用,SSE,中证指数有限公司、上海证券交易所,行业指数,20031231,20110613,SSE
000114.SH,持续产业,SSE,中证指数有限公司、上海证券交易所,主题指数,20110630,20110822,SSE
000115.SH,380等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20110812,SSE
000116.SH,信用100,SSE,中证指数有限公司,债券指数,20071231,20130226,SSE
000117.SH,380成长,SSE,中证指数有限公司、上海证券交易所,风格指数,20031231,20111018,SSE
