date,return,nav
20150105,0.02400208362021862,1.0240020836202186
20150106,-0.001427724069636157,1.0225400911980764
20150107,0.0024801110579714338,1.025076104185476
20150108,-0.006857599541839412,1.0180465427630632
20150109,-0.019086628884346424,0.9986154662143527
20150112,0.019508215686324496,1.0180966721169618
20150113,-0.0025192380737016126,1.0155318442178558
20150114,0.006887693904239743,1.0225265167108364
20150115,0.01430708801361186,1.0371558935816703
20150116,-0.01742828655715719,1.0190800434638845
20150119,0.03913258430839411,1.0589592791817368
20150120,0.02497450664436078,1.0854062647357685
20150121,0.01837855794564455,1.1053544666667805
20150122,-0.008016598318518994,1.0964932839079322
20150123,0.02073842386619022,1.1192328263960458
20150126,0.01049144653137395,1.1309751977503384
20150127,0.0025495076752132207,1.1338586276974785
20150128,-0.0026032528645887443,1.1309069069768865
20150129,-0.008020238749863155,1.1218367635790625
20150130,0.001560293352279106,1.1235871580236172
20150202,0.018729801236512765,1.1446317221652977
20150203,0.0009167791570440385,1.1456810966706703
20150204,-0.0038243417379704016,1.141299620634269
20150205,-0.01920721611560998,1.1193784321680829
20150206,-0.007653998100176612,1.1108107117748895
20150209,0.008119206218600785,1.1198296130136207
20150210,0.012746430336461485,1.1341034431646055
20150211,0.01291979876508924,1.148755831429087
20150212,0.018208491873667285,1.1696729426504917
20150213,0.019789111553590297,1.1928197309938184
20150216,0.003942584641977444,1.1975225237458822
20150217,0.005510618777197399,1.204121613851353
20150225,0.012715979452629214,1.2194331995515537
20150226,0.01609496950189496,1.2390599397079343
20150227,0.02348050375465218,1.2681536912744855
20150302,-0.0010464066932926357,1.2668266867638123
20150303,0.023494429657730232,1.2965900572445201
20150304,0.014049495872600345,1.3148064939022317
20150305,-0.006374008507835286,1.3064259061239418
20150306,0.014775382159172972,1.3257288481495668
20150309,0.01584909507438426,1.3467404507067433
20150310,0.004096122660493015,1.3522568647846858
20150311,-0.005225967023847765,1.3451900150015492
20150312,0.016843053928031183,1.3678471229676692
20150313,0.031930799926690186,1.4115235757814486
20150316,0.015774260839673947,1.4337893168471745
20150317,0.022834799840912766,1.4665296089114188
20150318,0.012806819951944534,1.4853111895669429
20150319,0.01498630768579673,1.50757052006295
20150320,0.02823579060917004,1.550137965596005
20150323,0.0011224702488615945,1.5518779493440176
20150324,0.02217765089199526,1.5862949567315547
20150325,-0.0013805923300871312,1.5841049300810353
20150326,0.019804293623380154,1.6154770092466042
20150327,0.007745917993215257,1.6279903616801532
20150330,0.0060859486129539245,1.6378982273637228
20150331,0.02834477331155703,1.6843240813257485
20150401,0.03152112132974147,1.7374158650518228
20150402,0.03133859468242273,1.7918640366414926
20150403,0.025276259444850225,1.8371556569215395
20150407,-0.009893363947212396,1.8189800073799347
20150408,-0.007499468828522268,1.8053386235148836
20150409,0.031489335405216055,1.862187536950735
20150410,0.030809179504440648,1.9195600070475827
20150413,0.00480468967138515,1.9287828971870482
20150414,-0.0391627365764015,1.8532464806714435
20150415,0.010564289157514341,1.8728247123734025
20150416,0.004464375265541296,1.881185704696017
20150417,-0.024519778715881884,1.8350594474933903
20150420,0.04316435136649254,1.9142685982633967
20150421,0.032868028590471554,1.9771868332809597
20150422,0.01819743410421979,2.013166560391321
20150423,0.011259612258240088,2.035834035272582
20150424,0.017204985516089424,2.0708605303626086
20150427,-0.024776013243534102,2.0195528624368326
20150428,0.03274289613411878,2.085678872048964
20150429,0.009048084449127686,2.104550270617024
20150430,0.018531434142901374,2.143550605357389
20150504,-0.01709487730856141,2.106906870754112
20150505,-0.006501467576912861,2.093208884046329
20150506,-0.02314643090741859,2.044758569236956
20150507,0.05080406482996177,2.14864061615009
20150508,0.05238932763408797,2.2612064533574854
20150511,0.028267975007805073,2.325126180868482
20150512,0.018928894178449174,2.369138248297683
20150513,0.029269556938603645,2.4384818751516555
20150514,0.004773497989462136,2.4501219634800315
20150515,0.0418468000024994,2.5526517272675115
20150518,0.032642726294981994,2.635977238927118
20150519,0.026753835734598427,2.7064997409775144
20150520,0.043562298759244424,2.8244010912857944
20150521,0.02866425228144219,2.905360436710391
20150522,0.03771917128331803,3.014948224662446
20150525,0.053554198023998356,3.176411358918121
20150526,0.03825757435588532,3.2979331526668094
20150527,-0.0428611373449328,3.15657998685595
20150528,0.02058388970847899,3.221554681161385
20150529,0.06541317183870768,3.4322867911079875
20150601,0.05869495029021307,3.6337446936938256
20150602,0.01981944805830577,3.7057635079076348
20150603,0.0006249093529779702,3.7080792741836506
20150604,0.030198635265899335,3.8200582077217637
20150605,-0.0016405099354522366,3.81379136427799
20150608,0.007469714450387244,3.8422792967424995
20150609,0.03607041383504492,3.980871901045827
20150610,0.040080358492001936,4.140426673950481
20150611,0.03216610496593226,4.273608072948518
20150612,-0.009401784428079088,4.233428531116558
20150615,-0.03300889234411258,4.093687744486437
20150616,0.03236229726446505,4.226168884181405
20150617,-0.031551803272035016,4.092825634953318
20150618,-0.06914047810596358,3.8098457137483015
20150619,0.007364785692846827,3.837904410952869
20150623,0.0315187431810505,3.958870334435113
20150624,-0.03669566662993336,3.8135969484115493
20150625,-0.08687026369145595,3.482308775890106
20150626,-0.0860248341471222,3.182743740995092
20150629,0.04469251893320287,3.324988575899048
