start_date,end_date,peak_date,trading_days,max_drawdown
20231120,20231122,20231117,2,-0.0068565216
20231123,20231127,20231122,2,-0.0096986699
20231128,20231201,20231127,3,-0.0079445248
20231204,20231229,20231201,19,-0.0496591231
20240102,20240930,20231229,180,-0.4542848802
20241008,20241024,20240930,12,-0.1123049888
20241028,20241104,20241025,5,-0.0430054436
20241111,20241112,20241108,1,-0.0003699804
20241113,20241127,20241112,10,-0.0683256848
20241203,20241204,20241202,1,-0.0142803531
20241212,20250311,20241211,56,-0.1985071451
20250312,20250313,20250311,1,-0.0075544372
20250318,20250430,20250317,30,-0.1661135308
20250508,20250509,20250507,1,-0.0057586035
20250512,20250514,20250509,2,-0.0037260629
20250520,20250528,20250519,6,-0.0303469887
20250529,20250530,20250528,1,-0.0107420188
20250609,20250610,20250606,1,-0.0077737055
20250612,20250623,20250611,7,-0.0425160771
20250703,20250704,20250702,1,-0.0116388552
20250710,20250711,20250709,1,-0.0008865875
20250714,20250716,20250711,2,-0.0141986042
20250721,20250723,20250718,2,-0.0050274374
20250728,20250731,20250725,3,-0.0161204511
20250811,20250818,20250808,5,-0.0306600375
20250821,20250825,20250820,2,-0.0043624461
20250826,20251020,20250825,33,-0.0677299321
20251028,20251031,20251027,3,-0.0193238779
20251111,20251112,20251110,1,-0.0021064166
20251117,20260109,20251114,37,-0.092179831
20260115,20260116,20260114,1,-0.0008014221
20260123,20260203,20260122,7,-0.0266767159
20260210,20260213,20260209,3,-0.0103726453
20260225,20260226,20260224,1,-0.0016176729
20260227,20260506,20260226,44,-0.1468423005
20260511,20260903,20260508,83,-0.2921275648
