ts_code,name,benchmark,list_date,index_ts_code,matched_index_name
510170.SH,国联安上证大宗商品股票ETF,上证大宗商品股票指数×100%,20110125.0,000066.SH,上证大宗商品股票指数
510190.SH,华安上证50ETF,上证50指数收益率×100%,20110110.0,000016.SH,上证50指数
510160.SH,南方中证南方小康产业ETF,中证南方小康产业指数×100%,20101101.0,000901.SH,中证南方小康产业指数
510090.SH,建信上证社会责任ETF,上证社会责任指数×100%,20100809.0,000048.SH,上证社会责任指数
510030.SH,华宝上证180价值ETF,上证180价值指数×100%,20100528.0,000029.SH,上证180价值指数
161211.SZ,国投瑞银沪深300金融地产ETF联接,活期存款利率(税后)×5%+沪深300金融地产指数×95%,20100608.0,000914.SH,沪深300金融地产指数
510130.SH,易方达上证中盘ETF,上证中盘指数×100%,20100623.0,000044.SH,上证中盘指数
510020.SH,博时上证超级大盘ETF,上证超级大盘指数×100%,20100319.0,000043.SH,上证超级大盘指数
162711.SZ,广发中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,20100108.0,000905.SH,中证小盘500指数
510010.SH,交银上证180公司治理ETF,上证180公司治理指数×100%,20091215.0,000021.SH,上证180公司治理指数
160119.SZ,南方中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,20091111.0,000905.SH,中证小盘500指数
510060.SH,工银瑞信上证中央企业50ETF,上证中央企业50指数×100%,20091027.0,000042.SH,上证中央企业50指数
160615.SZ,鹏华沪深300ETF联接(LOF)-A,沪深300指数收益率×95%+银行活期存款利率(税后)×5%,20090508.0,000300.SH,沪深300指数
510880.SH,华泰柏瑞上证红利ETF,上海证券交易所上证红利指数×100%,20070118.0,000015.SH,上证红利指数
159902.SZ,华夏中小企业100ETF,中小企业100指数×100%,20060905.0,399005.SZ,中小企业100指数
159901.SZ,易方达深证100ETF,深证100指数(价格)×100%,20060424.0,399330.SZ,深证100指数
160706.SZ,嘉实沪深300ETF联接(LOF)-A,活期存款利率(税后)×5%+沪深300指数×95%,20051017.0,000300.SH,沪深300指数
