ts_code,api,status,rows
CBC00703.OTH,,unsupported_code_suffix,0
CBA08303.OTH,,unsupported_code_suffix,0
CBA08203.OTH,,unsupported_code_suffix,0
CBA08903.OTH,,unsupported_code_suffix,0
CBA12003.OTH,,unsupported_code_suffix,0
931772.CSI,index_daily,ok,2222
746059L.MI,,unsupported_code_suffix,0
721638.MI,,unsupported_code_suffix,0
716567L.MI,,unsupported_code_suffix,0
931722CNY100.CSI,index_daily,ok,2465
