ts_code,indx_name,indx_csname,pub_party_name,api,p0,p1,price_return,cagr
399702.SZ,深证基本面120指数,深证F120,中证指数有限公司、深圳证券交易所,index_daily,5100.873,7369.3027,0.4447140126797904,0.037476309544060005
930975.CSI,中证港股通医药卫生综合人民币指数,港股通医药CCNY,中证指数有限公司,index_daily,2710.6072,3907.4904,0.44155538286772056,0.03724925892180986
950045.CSI,上证5年期地方政府债指数,上证5年期地债,中证指数有限公司、上海证券交易所,index_daily,117.865,169.674,0.4395622110041151,0.03710575396010363
399974.SZ,中证国有企业改革指数,国企改革,中证指数有限公司,index_daily,1350.9641,1939.1879,0.4354103858126208,0.03680625454722919
930865.CSI,中证5年期地方政府债指数,5年地债,中证指数有限公司,index_daily,114.418,164.1651,0.4347838626789491,0.03676099148289236
H11146.CSI,中证港股通内地金融指数,港股通内地金融,中证指数有限公司,index_daily,805.1036,1154.0616,0.43343241789007014,0.03666329596834239
H11017.CSI,中证金边中期国债指数,中期国债,中证指数有限公司,index_daily,149.8406,214.4003,0.4308558561564755,0.03647680723628777
950113.CSI,上证3-5年期中高等级可质押信用债指数,沪质中高债3-5,中证指数有限公司,index_daily,151.769,215.518,0.420039665544347,0.03569063095290148
399012.SZ,创业板300指数,创业300,深圳证券信息有限公司、深圳证券交易所,index_daily,3422.493,4854.5785,0.418433434341575,0.03557342253885665
000825.CSI,中证中央企业红利指数,央企红利,中证指数有限公司,index_daily,2438.8792,3454.7866,0.4165468301997082,0.03543560236338328
931018.CSI,中证5-10年期国债活跃券指数,中证5-10年国债活跃券,中证指数有限公司,index_daily,122.142,172.9344,0.41584712875178087,0.03538444578572264
932305.CSI,中证智选高股息策略指数,智选高股息,中证指数有限公司,index_daily,7795.4248,11024.0692,0.41417170748667864,0.03526185984354524
931152.CSI,中证创新药产业指数,CS创新药,中证指数有限公司、上海证券交易所,index_daily,1423.7998,2010.4909,0.41206010845064034,0.03510717366259963
000922.CSI,中证红利指数,中证红利,中证指数有限公司,index_daily,3960.5704,5579.3428,0.4087220366036166,0.03486221643502363
H30455.CSI,中证沪港深500指数,沪港深500,中证指数有限公司,index_daily,1856.0624,2607.1016,0.4046411370652194,0.03456203768717314
930846.CSI,沪深300行业中性低波动指数,300SNLV,中证指数有限公司,index_daily,4855.2096,6817.6359,0.4041898211768242,0.03452879205623849
931695.CSI,中证成渝地区双城经济圈成份指数,成渝经济圈,中证指数有限公司,index_daily,1612.1669,2260.0964,0.40189976608501254,0.03435994961228794
930916.CSI,中证10年期国债指数,中证10年国债,中证指数有限公司,index_daily,131.723,184.6524,0.40182352360635565,0.034354324096229405
000986.SH,中证全指能源指数,全指能源,中证指数有限公司,index_daily,1955.6228,2739.4817,0.4008231546492502,0.0342804868140818
399295.SZ,创业板低波价值指数,创价值,深圳证券信息有限公司、深圳证券交易所,index_daily,3613.8953,5062.308,0.40078989006682075,0.034278030738448706
399007.SZ,深证300指数,深证300,深圳证券信息有限公司、深圳证券交易所,index_daily,4246.401,5947.1378,0.40051252813853444,0.03425754980017248
930782.CSI,中证500行业中性低波动指数,500SNLV,中证指数有限公司,index_daily,13665.05,19132.6854,0.4001182139838493,0.03422842659973302
000300.SH,沪深300指数,沪深300,中证指数有限公司、上海证券交易所,index_daily,3314.1142,4618.8952,0.3937042966111428,0.0337536688330049
H30356.CSI,中证800价值指数,800价值,中证指数有限公司,index_daily,4512.728,6269.6495,0.38932581356554175,0.0334284431306513
