ts_code,name,benchmark,invest_type,fund_type,list_date,delist_date,status,market,matched_index_name,index_ts_code,p0,p1,etf_max_drawdown,median_amount_60d,ts_code_index,index_p0,index_p1,index_max_drawdown,etf_total_return,etf_cagr,index_price_return,index_cagr,liquid_10m
159936.SZ,广发中证全指可选消费ETF,中证全指可选消费指数×100%,被动指数型,股票型,20140625.0,,L,E,中证全指可选消费指数,000989.SH,1.509,1.906,-0.3764705882352941,1422.2017,000989.SH,5694.0672,4611.2915,-0.40410230797372804,0.26308813783962903,0.023630848944872662,-0.19015857417348359,-0.020870808172671618,False
159935.SZ,景顺长城中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20140121.0,,L,E,中证小盘500指数,000905.SH,1.603,2.475,-0.4159966144731274,2828.27765,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.5439800374298192,0.04439351888780063,0.2355498949827195,0.02137689392204667,False
512120.SH,华安中证细分医药ETF,中证细分医药产业主题指数×100%,被动指数型,股票型,20140106.0,,L,E,中证细分医药产业主题指数,000814.SH,1.421,1.4764580999999999,-0.6007165380374863,16989.6865,000814.SH,8503.5845,8724.0462,-0.6242982865313177,0.039027515833919724,0.003835857618788019,0.025925737552205064,0.002562814767212984,True
512010.SH,易方达沪深300医药卫生ETF,沪深300医药卫生指数×100%,被动指数型,股票型,20131028.0,,L,E,沪深300医药卫生指数,000913.SH,1.284,1.51514,-0.663248595505618,583095.693,000913.SH,7929.6689,8328.5783,-0.6644455167418525,0.18001557632398746,0.016690519893699296,0.05030593395898286,0.004920213432980658,True
159933.SZ,国投瑞银沪深300金融地产ETF,沪深300金融地产指数×100%,被动指数型,股票型,20131016.0,,L,E,沪深300金融地产指数,000914.SH,1.561,2.864,-0.40680611926319077,121.9983,000914.SH,5603.5844,6003.8041,-0.40067001781877254,0.83472133247918,0.06256868109354286,0.07142208833331765,0.00692253277967958,False
159928.SZ,汇添富中证主要消费ETF,中证主要消费指数×100%,被动指数型,股票型,20130916.0,,L,E,中证主要消费指数,000932.SH,1.454,2.636,-0.5996680497925311,335300.89555,000932.SH,8041.3104,12376.7789,-0.639673084375879,0.8129298486932601,0.06129984289285795,0.539149502300023,0.04406630633979702,True
159929.SZ,汇添富中证医药卫生ETF,中证医药卫生指数×100%,被动指数型,股票型,20130916.0,,L,E,中证医药卫生指数,000933.SH,1.448,1.362,-0.606622998544396,94101.5776,000933.SH,9405.4391,8109.6753,-0.6219189126883206,-0.05939226519337004,-0.006104201818107113,-0.137767496681787,-0.014713711607745372,True
159930.SZ,汇添富中证能源ETF,中证能源指数×100%,被动指数型,股票型,20130916.0,,L,E,中证能源指数,000928.SH,0.79,1.76,-0.4233954451345755,112686.02995,000928.SH,1967.9993,3475.6974,-0.4527112479332668,1.2278481012658227,0.08339931747495521,0.7661070306275009,0.05852641950125248,True
159931.SZ,汇添富中证金融地产ETF,中证金融地产指数×100%,被动指数型,股票型,20130916.0,,L,E,中证金融地产指数,000934.SH,1.493,1.842,-0.3681818181818183,435.7614,000934.SH,5547.3317,5615.1803,-0.40478258251976607,0.23375753516409903,0.021228630297244644,0.012230853258693664,0.0012164052934255931,False
510510.SH,广发中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20130524.0,,L,E,中证小盘500指数,000905.SH,1.743,2.558,-0.39164835164835166,86137.9595,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.4675846242111301,0.0391071072453284,0.2355498949827195,0.02137689392204667,True
510630.SH,华夏上证主要消费ETF,上证主要消费行业指数×100%,被动指数型,股票型,20130508.0,,L,E,上证主要消费行业指数,000036.SH,1.558,3.1948219000000004,-0.5694237373737374,45211.9355,000036.SH,6102.3792,9247.6047,-0.6227907281210774,1.0505917201540438,0.07445422990458095,0.5154097110189415,0.04244465429016753,True
510650.SH,华夏上证金融地产ETF,上证金融地产行业指数×100%,被动指数型,股票型,20130508.0,,L,E,上证金融地产行业指数,000038.SH,1.48,2.869,-0.2887089090042878,1284.3015,000038.SH,4336.2534,5295.7273,-0.3995466891888326,0.9385135135135136,0.06843199122613641,0.22126794988503207,0.02019007933380923,False
510660.SH,华夏上证医药卫生ETF,上证医药卫生行业指数×100%,被动指数型,股票型,20130508.0,,L,E,上证医药卫生行业指数,000037.SH,1.526,2.559,-0.549899193548387,15264.04,000037.SH,6038.1518,6592.2928,-0.5848879148089081,0.6769331585845348,0.05305626253454432,0.09177328069161828,0.008818983844309125,True
510310.SH,易方达沪深300ETF,沪深300指数×100%,被动指数型,股票型,20130325.0,,L,E,沪深300指数,000300.SH,1.372,2.4206,-0.4103827207275482,1131459.2105,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.764285714285714,0.058417207165993856,0.3937042966111428,0.0337536688330049,True
159925.SZ,南方沪深300ETF,沪深300指数×100%,被动指数型,股票型,20130411.0,,L,E,沪深300指数,000300.SH,1.331,2.5134929999999995,-0.408752802359882,94687.9362,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.8884244928625091,0.06563864700062538,0.3937042966111428,0.0337536688330049,True
159923.SZ,大成中证A100ETF,中证A100指数×100%,被动指数型,股票型,20130305.0,,L,E,中证A100指数,000903.SH,1.252,2.188,-0.5065394132202192,3106.4738500000003,000903.SH,3096.0044,4509.8362,-0.500609083362952,0.7476038338658149,0.05741215633042551,0.45666336908306726,0.038331238076009244,False
159922.SZ,嘉实中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20130315.0,,L,E,中证小盘500指数,000905.SH,6.368,9.5443108,-0.39767007047317715,573255.29885,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.498792525125628,0.041295884285342144,0.2355498949827195,0.02137689392204667,True
510500.SH,南方中证500ETF,中证小盘500指数×100%,被动指数型,股票型,20130315.0,,L,E,中证小盘500指数,000905.SH,1.8597905,2.6752266,-0.3947213062817094,2940989.1210000003,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.43845589059627943,0.03702602359201923,0.2355498949827195,0.02137689392204667,True
510330.SH,华夏沪深300ETF,沪深300指数×100%,被动指数型,股票型,20130116.0,,L,E,沪深300指数,000300.SH,3.6434636,6.1271193,-0.42083295909694596,678342.7355,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.681674355138336,0.05335361522550519,0.3937042966111428,0.0337536688330049,True
159919.SZ,嘉实沪深300ETF,沪深300指数×100%,被动指数型,股票型,20120528.0,,L,E,沪深300指数,000300.SH,1.358721,2.2734088,-0.42002439899059374,1044316.3874,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.6731976616244246,0.0528214507183522,0.3937042966111428,0.0337536688330049,True
510300.SH,华泰柏瑞沪深300ETF,沪深300指数×100%,被动指数型,股票型,20120528.0,,L,E,沪深300指数,000300.SH,3.5842256,5.930027999999999,-0.42155347080635797,4529753.9895,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.6544795617775843,0.05163768544016856,0.3937042966111428,0.0337536688330049,True
510410.SH,博时上证自然资源ETF,上证自然资源指数×100%,被动指数型,股票型,20120511.0,,L,E,上证自然资源指数,000068.SH,0.668,1.99,-0.41149943630214203,20031.3825,000068.SH,1907.6529,4325.8797,-0.43173091581865075,1.9790419161676644,0.11534098512807978,1.2676450731681852,0.08531925508682359,True
159915.SZ,易方达创业板ETF,创业板指数P×100%,被动指数型,股票型,20111209.0,,L,E,创业板指数,399006.SZ,2.081,3.56,-0.5658465991316932,6443425.13765,399006.SZ,2170.857,3545.5775,-0.5704597874670019,0.7107160019221528,0.055158718560101905,0.6332616565715752,0.05028116359380297,True
510290.SH,南方上证380ETF,上证380指数×100%,被动指数型,股票型,20111108.0,,L,E,上证380指数,000009.SH,1.532,2.664,-0.3486997635933805,3773.7084999999997,000009.SH,5558.1731,6945.5603,-0.3739514482616414,0.7389033942558747,0.05688454094541884,0.2496120892672451,0.022533445010498587,False
159916.SZ,建信深证基本面60ETF,深证基本面60指数×100%,被动指数型,股票型,20111024.0,,L,E,深证基本面60指数,399701.SZ,2.54,5.136,-0.3917623015249174,238.7674,399701.SZ,5069.701,7726.036,-0.4738064959627394,1.0220472440944883,0.0729491247900591,0.523962853036106,0.04303153267510096,False
159910.SZ,嘉实深证基本面120ETF,深证基本面120指数×100%,被动指数型,股票型,20110927.0,,L,E,深证基本面120指数,399702.SZ,1.323,2.372,-0.39405869720830344,758.2266,399702.SZ,5100.873,7369.3027,-0.45891337746195526,0.7928949357520785,0.060121113483432964,0.4447140126797904,0.037476309544060005,False
510270.SH,中银上证国有企业100ETF,上证国有企业100指数×100%,被动指数型,股票型,20110818.0,,L,E,上证国有企业100指数,000056.SH,0.981,1.538,-0.29767441860465116,2004.5625,000056.SH,914.0867,1251.0712,-0.31172565998475665,0.5677879714576963,0.045992890788186136,0.3686570431448135,0.031880638352699275,False
159907.SZ,广发国证2000ETF,国证2000指数×100%,被动指数型,股票型,20110810.0,,L,E,国证2000指数,399303.SZ,1.47,2.13,-0.49317073170731707,9881.2416,399303.SZ,8833.23,9887.5858,-0.5223142312599572,0.44897959183673475,0.03778222257762254,0.1193624302774865,0.011339739336634347,False
