ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,api
980018.SZ,国证商用卫星通信产业指数,卫星通信,深圳证券信息有限公司,20150217.0,20021231.0,1000.0,半年,index_daily
980016.SZ,国证公共卫生与医疗健康指数,医疗健康,深圳证券信息有限公司,20150217.0,20021231.0,1000.0,半年,index_daily
980022.SZ,国证机器人产业指数,机器人产业,深圳证券信息有限公司,20150225.0,20141231.0,1000.0,半年,index_daily
930604.CSI,中证海外中国互联网30指数,中国互联网30,中证指数有限公司,20150323.0,20070629.0,1000.0,半年,index_daily
930606.CSI,中证钢铁指数,中证钢铁,中证指数有限公司,20150331.0,20081231.0,1000.0,半年,index_daily
930608.CSI,中证基建指数,中证基建,中证指数有限公司,20150331.0,20041231.0,1000.0,半年,index_daily
930614.CSI,中证环保产业50指数,环保50,中证指数有限公司,20150407.0,20111230.0,1000.0,半年,index_daily
930625.CSI,中证沪港深互联网指数,SHS互联网,中证指数有限公司,20150421.0,20120629.0,1000.0,半年,index_daily
930633.CSI,中证旅游主题指数,中证旅游,中证指数有限公司,20150508.0,20081231.0,1000.0,半年,index_daily
930632.CSI,中证稀有金属主题指数,CS稀金属,中证指数有限公司,20150512.0,20111231.0,1000.0,半年,index_daily
931580.CSI,中证沪港深游戏及文化传媒指数,SHS游戏传媒,中证指数有限公司,20150513.0,20141231.0,1000.0,半年,index_daily
930641.CSI,中证中药指数,中证中药,中证指数有限公司,20150519.0,20041231.0,1000.0,半年,index_daily
930648.CSI,中证智能消费主题指数,CS智消费,中证指数有限公司,20150605.0,20120629.0,1000.0,半年,index_daily
930651.CSI,中证计算机主题指数,CS计算机,中证指数有限公司,20150605.0,20041231.0,1000.0,半年,index_daily
930652.CSI,中证电子指数,CS电子,中证指数有限公司,20150605.0,20041231.0,1000.0,半年,index_daily
930653.CSI,中证食品饮料指数,CS食品饮,中证指数有限公司,20150605.0,20041231.0,1000.0,半年,index_daily
399975.SZ,中证全指证券公司指数,证券公司,中证指数有限公司,20130715.0,20070629.0,1000.0,半年,index_daily
399976.SZ,中证新能源汽车指数,CS新能车,中证指数有限公司,20141128.0,20111231.0,1000.0,半年,index_daily
399986.SZ,中证银行指数,中证银行,中证指数有限公司,20130715.0,20041231.0,1000.0,半年,index_daily
399987.SZ,中证酒指数,中证酒,中证指数有限公司,20141210.0,20081231.0,1000.0,半年,index_daily
399989.SZ,中证医疗指数,中证医疗,中证指数有限公司,20141031.0,20041231.0,1000.0,半年,index_daily
399994.SZ,中证信息安全主题指数,信息安全,中证指数有限公司,20150312.0,20101231.0,1000.0,半年,index_daily
399995.SZ,中证基建工程指数,基建工程,中证指数有限公司,20150312.0,20041231.0,1000.0,半年,index_daily
399998.SZ,中证煤炭指数,中证煤炭,中证指数有限公司,20150213.0,20081231.0,1000.0,半年,index_daily
930697.CSI,中证全指家用电器指数,家用电器,中证指数有限公司,20150707.0,20041231.0,1000.0,半年,index_daily
930707.CSI,中证畜牧养殖指数,中证畜牧,中证指数有限公司,20150713.0,20111231.0,1000.0,半年,index_daily
930708.CSI,中证有色金属指数,中证有色,中证指数有限公司,20150713.0,20131231.0,1000.0,半年,index_daily
930662.CSI,中证现代农业主题指数,CS现代农,中证指数有限公司,20150713.0,20101231.0,1000.0,半年,index_daily
930709.CSI,中证香港证券投资主题指数,香港证券,中证指数有限公司,20150713.0,20121231.0,1000.0,半年,index_daily
399808.SZ,中证新能源指数,中证新能,中证指数有限公司,20150210.0,20111231.0,1000.0,半年,index_daily
930716.CSI,中证现代物流指数,CS物流,中证指数有限公司,20150731.0,20111230.0,1000.0,半年,index_daily
930712.CSI,中证物联网主题指数,CS物联网,中证指数有限公司,20150731.0,20120629.0,1000.0,半年,index_daily
930713.CSI,中证人工智能主题指数,CS人工智,中证指数有限公司,20150731.0,20120629.0,1000.0,半年,index_daily
931575.CSI,中证沪港深物联网主题指数,SHS物联网,中证指数有限公司,20150731.0,20121231.0,1000.0,半年,index_daily
930725.CSI,中证车联网主题指数,CS车联网,中证指数有限公司,20150805.0,20101231.0,1000.0,半年,index_daily
930726.CSI,中证生物医药指数,CS生医,中证指数有限公司,20150805.0,20120629.0,1000.0,半年,index_daily
930721.CSI,中证智能汽车主题指数,CS智汽车,中证指数有限公司,20150805.0,20120629.0,1000.0,三个月,index_daily
930743.CSI,中证生物科技主题指数,中证生科,中证指数有限公司,20150826.0,20111231.0,1000.0,半年,index_daily
399812.SZ,中证养老产业指数,养老产业,中证指数有限公司、上海证券交易所,20140606.0,20041231.0,1000.0,半年,index_daily
399814.SZ,中证大农业指数,大农业,中证指数有限公司,20140722.0,20131231.0,1000.0,半年,index_daily
930782.CSI,中证500行业中性低波动指数,500SNLV,中证指数有限公司,20160204.0,20041231.0,1000.0,半年,index_daily
930781.CSI,中证影视主题指数,中证影视,中证指数有限公司,20160204.0,20120629.0,1000.0,半年,index_daily
930796.CSI,中证全球中国互联网指数,全球中国互联网,中证指数有限公司,20160422.0,20131231.0,1000.0,半年,index_daily
930821.CSI,中证虚拟现实主题指数,中证VR,中证指数有限公司,20160511.0,20120629.0,1000.0,三个月,index_daily
950096.CSI,中证上海国企指数,上海国企,中证指数有限公司、上海证券交易所,20160511.0,20121231.0,1000.0,半年,index_daily
930840.CSI,中证港股通高股息精选人民币指数,港股通高息精选CNY,中证指数有限公司,20160608.0,20141114.0,3000.0,一年,index_daily
930865.CSI,中证5年期地方政府债指数,5年地债,中证指数有限公司,20160719.0,20130630.0,100.0,三个月,index_daily
930850.CSI,中证智能制造主题指数,智能制造,中证指数有限公司、上海证券交易所,20160720.0,20120629.0,1000.0,半年,index_daily
930851.CSI,中证云计算与大数据主题指数,云计算,中证指数有限公司、上海证券交易所,20160720.0,20120629.0,1000.0,半年,index_daily
950105.CSI,上证证券行业指数,上证证券,中证指数有限公司、上海证券交易所,20161018.0,20121231.0,1000.0,半年,index_daily
930901.CSI,中证动漫游戏指数,动漫游戏,中证指数有限公司、上海证券交易所,20161018.0,20121231.0,1000.0,半年,index_daily
930902.CSI,中证大数据产业指数,中证数据,中证指数有限公司、上海证券交易所,20161018.0,20121231.0,1000.0,半年,index_daily
930903.CSI,中证A股指数,中证A股,中证指数有限公司、上海证券交易所,20161018.0,19991231.0,1000.0,自动调整,index_daily
950109.CSI,上证10年期地方政府债指数,上证10年地债,中证指数有限公司、上海证券交易所,20161114.0,20131231.0,100.0,一个月,index_daily
930914.CSI,中证港股通高股息投资指数,港股通高股息,中证指数有限公司,20161125.0,20141114.0,3000.0,一年,index_daily
930910.CSI,中证全指农牧渔指数,农牧渔,中证指数有限公司,20161212.0,20041231.0,1000.0,半年,index_daily
SPSIBI.OTH,标普生物科技精选行业指数,标普生物科技精选行业指数,标普道琼斯指数有限公司,20060127.0,19991217.0,1000.0,,
930931.CSI,中证港股通50指数,港股通50,中证指数有限公司,20170116.0,20141114.0,3000.0,半年,index_daily
000171.CSI,中国战略新兴产业成份指数,新兴成指,中证指数有限公司、上海证券交易所,20170125.0,20101231.0,1000.0,半年,index_daily
930955.CSI,中证红利低波动100指数,红利低波100,中证指数有限公司,20170526.0,20051230.0,1000.0,三个月,index_daily
930986.CSI,中证金融科技主题指数,金融科技,中证指数有限公司,20170622.0,20140630.0,1000.0,半年,index_daily
930957.CSI,中证港股通中国100指数,港股通中国100,中证指数有限公司,20170623.0,20141114.0,3000.0,半年,index_daily
930965.CSI,中证港股通医药卫生综合指数,港股通医药C,中证指数有限公司,20170623.0,20141114.0,3000.0,半年,index_daily
930967.CSI,中证港股通信息技术综合指数,港股通信息C,中证指数有限公司,20170623.0,20141114.0,3000.0,半年,index_daily
930977.CSI,中证港股通信息技术综合人民币指数,港股通信息CCNY,中证指数有限公司,20170623.0,20141114.0,3000.0,半年,index_daily
931233.CSI,中证港股通央企红利指数,港股通央企红利,中证指数有限公司,20170628.0,20141114.0,1000.0,一年,index_daily
930997.CSI,中证新能源汽车产业指数,新能源车,中证指数有限公司,20170719.0,20141231.0,1000.0,半年,index_daily
931000.CSI,中证粤港澳大湾区发展主题指数,大湾区,中证指数有限公司,20170719.0,20161230.0,1000.0,半年,index_daily
931778.CSI,中证农牧主题指数,农牧主题,中证指数有限公司,20170721.0,20120629.0,1000.0,半年,index_daily
931238.CSI,中证沪深港黄金产业股票指数,SSH黄金股票,中证指数有限公司,20171017.0,20141231.0,1000.0,半年,index_daily
931021.CSI,中证家电龙头指数,家电龙头,中证指数有限公司,20171017.0,20041231.0,1000.0,半年,index_daily
931018.CSI,中证5-10年期国债活跃券指数,中证5-10年国债活跃券,中证指数有限公司,20171025.0,20111231.0,100.0,一个月,index_daily
931028.CSI,中证港股通非银行金融主题人民币指数,港股通非银CNY,中证指数有限公司,20171106.0,20141114.0,3000.0,半年,index_daily
931033.CSI,中证杭州湾区指数,杭州湾区,中证指数有限公司,20171108.0,20091231.0,1000.0,半年,index_daily
SPAHLVCP.OTH,标普港股通低波红利指数,标普港股通低波红利指数,标普道琼斯指数有限公司,20170220.0,20110131.0,1000.0,半年,
931039.CSI,中证银行AH价格优选指数,银行AH,中证指数有限公司,20171206.0,20041231.0,1000.0,一个月,index_daily
931052.CSI,中证国信价值指数,国信价值,中证指数有限公司,20171208.0,20070629.0,1000.0,半年,index_daily
931066.CSI,中证军工龙头指数,军工龙头,中证指数有限公司,20180205.0,20121231.0,1000.0,半年,index_daily
000860.SH,中证央企结构调整指数,结构调整,中证指数有限公司,20180326.0,20141231.0,1000.0,半年,index_daily
716567.MI,MSCI中国A股国际通(人民币)指数,MSCI中国A股国际通(人民币)指数,摩根士丹利资本国际公司,20171023.0,20170831.0,1000.0,,
704843.MI,MSCI中国A股国际指数,MSCI中国A股国际指数,摩根士丹利资本国际公司,20140626.0,20081125.0,1000.0,,
707918.MI,MSCI中国A股国际低波(美元)指数,MSCI中国A股国际低波(美元)指数,摩根士丹利资本国际公司,20150827.0,20081125.0,1000.0,,
CBC00701.OTH,中债-中高等级公司债利差因子指数,中债-中高等级公司债利差因子指数,中央国债登记结算有限责任公司,20180615.0,20150630.0,100.0,三个月,
931787.CSI,中证香港创新药指数,港股创新药,中证指数有限公司,20180814.0,20171229.0,1000.0,半年,index_daily
