ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,api
000001.SH,上证综合指数,上证指数,中证指数有限公司、上海证券交易所,19910715.0,19901219.0,100.0,自动调整,index_daily
000010.SH,上证180指数,上证180,中证指数有限公司、上海证券交易所,20020701.0,20020628.0,3299.06,半年,index_daily
000016.SH,上证50指数,上证50,中证指数有限公司、上海证券交易所,20040102.0,20031231.0,1000.0,半年,index_daily
399001.SZ,深证成份指数,深证成指,深圳证券信息有限公司、深圳证券交易所,19950123.0,19940720.0,1000.0,半年,index_daily
000015.SH,上证红利指数,红利指数,中证指数有限公司、上海证券交易所,20050104.0,20041231.0,1000.0,一年,index_daily
000300.SH,沪深300指数,沪深300,中证指数有限公司、上海证券交易所,20050408.0,20041231.0,1000.0,半年,index_daily
N225.JT,日经225指数,日经225指数,东京证券交易所,19500907.0,19490513.0,176.21,,
GDAXI.GY,德国法兰克福DAX指数,德国法兰克福DAX指数,德国法兰克福证券交易所,19880101.0,19871230.0,1000.0,,
NDX.NASDAQ,纳斯达克100指数,纳斯达克100指数,美国纳斯达克证券交易所,19850201.0,19850131.0,125.0,,
SPX.OTH,标普500指数,标普500指数,标普道琼斯指数有限公司,19570304.0,19280103.0,10.0,,
XIN9.OTH,富时中国A50指数,富时中国A50指数,富时罗素,20030721.0,20010316.0,5000.0,三个月,
000901.SH,中证南方小康产业指数,小康指数,中证指数有限公司,20100402.0,20051230.0,1000.0,半年,index_daily
399330.SZ,深证100指数,深证100,深圳证券信息有限公司、深圳证券交易所,20060124.0,20021231.0,1000.0,半年,index_daily
399324.SZ,深证红利指数,深证红利,深圳证券信息有限公司、深圳证券交易所,20060124.0,20021231.0,1000.0,半年,index_daily
399326.SZ,深证成长40指数,成长40,深圳证券信息有限公司、深圳证券交易所,20060124.0,20021231.0,1000.0,半年,index_daily
000903.SH,中证A100指数,中证A100,中证指数有限公司,20060529.0,20051230.0,1000.0,半年,index_daily
000905.SH,中证小盘500指数,中证500,中证指数有限公司,20070115.0,20041231.0,1000.0,半年,index_daily
000906.SH,中证800指数,中证800,中证指数有限公司,20070115.0,20041231.0,1000.0,半年,index_daily
000913.SH,沪深300医药卫生指数,300医药,中证指数有限公司,20070702.0,20041231.0,1000.0,半年,index_daily
000914.SH,沪深300金融地产指数,300金融,中证指数有限公司,20070702.0,20041231.0,1000.0,半年,index_daily
000018.SH,上证180金融股指数,180金融,中证指数有限公司、上海证券交易所,20071210.0,20020628.0,1000.0,半年,index_daily
000918.CSI,沪深300成长指数,300成长,中证指数有限公司,20080121.0,20041231.0,1000.0,半年,index_daily
000919.CSI,沪深300价值指数,300价值,中证指数有限公司,20080121.0,20041231.0,1000.0,半年,index_daily
000922.CSI,中证红利指数,中证红利,中证指数有限公司,20080526.0,20041231.0,1000.0,一年,index_daily
000021.SH,上证180公司治理指数,180治理,中证指数有限公司、上海证券交易所,20080910.0,20070629.0,1000.0,半年,index_daily
399005.SZ,中小企业100指数,中小100,深圳证券信息有限公司、深圳证券交易所,20060124.0,20050607.0,1000.0,半年,index_daily
H11014.CSI,中证短融指数,中证短融,中证指数有限公司,20081112.0,20070131.0,100.0,一个月,index_daily
000029.SH,上证180价值指数,180价值,中证指数有限公司、上海证券交易所,20090109.0,20020628.0,1000.0,半年,index_daily
000036.SH,上证主要消费行业指数,上证消费,中证指数有限公司、上海证券交易所,20090109.0,20031231.0,1000.0,半年,index_daily
000037.SH,上证医药卫生行业指数,上证医药,中证指数有限公司、上海证券交易所,20090109.0,20031231.0,1000.0,半年,index_daily
000038.SH,上证金融地产行业指数,上证金融,中证指数有限公司、上海证券交易所,20090109.0,20031231.0,1000.0,半年,index_daily
000925.CSI,中证锐联基本面50指数,基本面50,中证指数有限公司,20090226.0,20041231.0,1000.0,一年,index_daily
