ts_code,name,universe,rebalance_frequency,return_basis,source_code,note,window,status,as_of,start_date,end_date,start_close,end_close,return,cagr
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_week,ok,2026-09-04,2026-08-28,2026-09-04,5176.0833,5137.6787,-0.007419625569008881,-0.32198701812048014
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_month,ok,2026-09-04,2026-08-04,2026-09-04,5107.3056,5137.6787,0.00594699091434836,0.0723596000762512
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,6068.0551,5137.6787,-0.15332365719619112,-0.2813537550754144
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,ytd,ok,2026-09-04,2025-12-31,2026-09-04,5387.6018,5137.6787,-0.046388561975757026,-0.0678288915384716
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,4908.4409,5137.6787,0.046702772768436596,0.04673549708498892
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,4716.2886,5387.6018,0.14233929619998253,0.14244342452618297
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,4197.6621,5137.6787,0.22393812975084426,0.10954950083426973
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,3698.3205,5137.6787,0.3891923915193398,0.1157749592626034
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,3158.2763,5137.6787,0.6267350326505634,0.10216347432167039
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1454.1819,5137.6787,2.5330371668083616,0.13446817870065475
